,Time,LBA,PBA,Ops,Zone-idx,WA_1,WA_2
0,363.239592,3952,7144,w,0,6580,7604.
1,363.239831,48515,26931,w,0,-1,-1
2,363.239882,55258,42194,w,0,-1,-1
3,363.239951,30802,55882,w,0,55400,56424.
4,363.240177,26339,47771,w,0,47273,48297.
5,363.240384,55058,41994,w,0,-1,-1
6,363.240435,24936,45000,w,0,44443,45467.
7,363.240627,23168,41864,w,0,41319,42343.
8,363.240818,59834,52450,w,0,-1,-1
9,363.240857,4379,8027,w,0,7491,8515.
10,363.241075,56048,44120,w,0,-1,-1
11,363.241115,42673,13705,w,0,-1,-1
12,363.241162,60852,54604,w,0,-1,-1
13,363.241201,16179,29403,w,0,28892,29916.
14,363.241393,25722,46698,w,0,46210,47234.
15,363.241583,36632,280,w,0,-1,-1
16,363.241628,28868,52124,w,0,51575,52599.
17,363.241824,52725,36253,w,0,-1,-1
18,363.241874,23705,42857,w,0,42318,43342.
19,363.242148,40600,9360,w,0,-1,-1
20,363.242192,263,719,w,0,211,1235.
21,363.242378,27824,50168,w,0,49601,50625.
22,363.242564,20682,37554,w,0,37051,38075.
23,363.242749,45110,19550,w,0,-1,-1
24,363.242788,51768,34160,w,0,-1,-1
25,363.242831,64706,63570,w,0,-1,-1
26,363.242873,52715,36243,w,0,-1,-1
27,363.242911,17056,31192,w,0,30732,31756.
28,363.243333,16589,30269,w,0,29789,30813.
29,363.243534,65177,64609,w,0,-1,-1
30,363.243574,4780,8884,w,0,8381,9405.
31,363.243769,55282,42218,w,0,-1,-1
32,363.243808,62917,59509,w,0,-1,-1
33,363.243859,951,1863,w,0,1331,2355.
34,363.244056,2940,5676,w,0,5200,6224.
35,363.244251,4676,8780,w,0,8297,9321.
36,363.244447,12246,22278,w,0,21759,22783.
37,363.244644,2331,4611,w,0,4143,5167.
38,363.244840,23044,41740,w,0,41220,42244.
39,363.245075,35066,63338,w,0,62799,63823.
40,363.245276,58907,50387,w,0,-1,-1
41,363.245331,48812,27796,w,0,-1,-1
42,363.245394,16450,29674,w,0,29110,30134.
43,363.245610,6541,12013,w,0,11499,12523.
44,363.245826,3520,6712,w,0,6233,7257.
45,363.246185,61791,56679,w,0,-1,-1
46,363.246257,31306,56842,w,0,56372,57396.
47,363.246462,22357,40597,w,0,40100,41124.
48,363.246661,1768,3592,w,0,3123,4147.
49,363.246867,44534,17838,w,0,-1,-1
50,363.246923,7995,14835,w,0,14370,15394.
51,363.247143,65074,63938,w,0,-1,-1
52,363.247201,21476,38804,w,0,38257,39281.
53,363.247402,63683,60843,w,0,-1,-1
54,363.247465,29165,52877,w,0,52382,53406.
55,363.247665,48871,27855,w,0,-1,-1
56,363.247725,2350,4630,w,0,4158,5182.
57,363.247924,59403,51451,w,0,-1,-1
58,363.247984,51186,33010,w,0,-1,-1
59,363.248040,43883,16619,w,0,-1,-1
60,363.248094,15628,28396,w,0,27882,28906.
61,363.248294,44361,17665,w,0,-1,-1
62,363.248334,57553,47329,w,0,-1,-1
63,363.248378,25884,46860,w,0,46340,47364.
64,363.248575,33142,60046,w,0,59550,60574.
65,363.248770,23371,42523,w,0,42050,43074.
66,363.248967,4226,7874,w,0,7368,8392.
67,363.249160,29466,53178,w,0,52623,53647.
68,363.249355,4190,7838,w,0,7339,8363.
69,363.249550,33219,60123,w,0,59612,60636.
70,363.249746,9216,16968,w,0,16486,17510.
71,363.249942,46317,21893,w,0,-1,-1
72,363.249980,55533,43037,w,0,-1,-1
73,363.250128,3089,5825,w,0,5319,6343.
74,363.250330,1828,3652,w,0,3171,4195.
75,363.250530,21438,38766,w,0,38226,39250.
76,363.250731,6299,11771,w,0,11304,12328.
77,363.250938,22833,41529,w,0,41050,42074.
78,363.251130,27670,50014,w,0,49477,50501.
79,363.251325,45155,19595,w,0,-1,-1
80,363.251363,55100,42036,w,0,-1,-1
81,363.251413,18804,34308,w,0,33840,34864.
82,363.251602,49289,28841,w,0,-1,-1
83,363.251640,28157,50957,w,0,50436,51460.
84,363.251829,56220,44292,w,0,-1,-1
85,363.251867,29440,53152,w,0,52602,53626.
86,363.252058,49367,28919,w,0,-1,-1
87,363.252096,21160,38488,w,0,38003,39027.
88,363.252285,50893,32149,w,0,-1,-1
89,363.252323,17913,32505,w,0,31988,33012.
90,363.252509,10315,18979,w,0,18505,19529.
91,363.252692,11422,20998,w,0,20529,21553.
92,363.252877,15422,28190,w,0,27717,28741.
93,363.253063,14487,26343,w,0,25830,26854.
94,363.253247,58495,49407,w,0,-1,-1
95,363.253281,42881,14481,w,0,-1,-1
96,363.253325,13234,24178,w,0,23688,24712.
97,363.253506,37870,3222,w,0,-1,-1
98,363.253538,25765,46741,w,0,46244,47268.
99,363.253720,2010,3834,w,0,3317,4341.
100,363.253900,35275,64003,w,0,63535,64559.
101,363.254256,17888,32480,w,0,31968,32992.
102,363.254450,47504,24784,w,0,-1,-1
103,363.254486,13744,25144,w,0,24665,25689.
104,363.254677,56901,46109,w,0,-1,-1
105,363.254738,48273,26689,w,0,-1,-1
